Date,Country,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
2023-01-15,Rwanda,13600464,133063,,1468,,131112,,483,,9784,108,5959042,438150
2023-01-15,Cameroon,27911548,123993,,1965,,118616,,3412,13,4442,70,1751774,62762
2023-01-15,Malta,444033,116801,,822,,115182,,797,4,263046,1851,2104486,4739481
2023-01-15,Barbados,288023,105905,,569,,105314,,22,,367696,1976,788414,2737330
2023-01-15,Angola,35027343,105095,,1930,,103050,,115,,3000,55,1499795,42818
2023-01-15,Channel Islands,176463,100738,,219,,100043,,476,,570873,1241,1252808,7099551
2023-01-15,French Guiana,314169,97982,,416,,11254,,86312,6,311877,1324,651257,2072951
2023-01-15,DRC,95240792,95173,,1462,,84159,,9552,,999,15,846704,8890
2023-01-15,Senegal,17653671,88900,,1968,,86915,,17,,5036,111,1146543,64946
2023-01-15,Malawi,20180839,88220,,2685,,85065,,470,67,4371,133,624784,30959
2023-01-15,Ivory Coast,27742298,87960,,833,,87121,,6,,3171,30,1667605,60111
2023-01-15,Suriname,596831,82020,,1398,,,,,,137426,2342,239603,401459
2023-01-15,New Caledonia,290915,79724,,314,,79234,,176,9,274046,1079,98964,340182
2023-01-15,French Polynesia,284164,77957,,649,,,,,7,274338,2284,,
2023-01-15,Eswatini,1184817,74053,,1422,,72603,,28,,62502,1200,1048081,884593
2023-01-15,Guyana,794045,72638,,1293,,70996,,349,,91478,1628,713856,899012
2023-01-15,Belize,412190,70397,,688,,69605,,104,6,170788,1669,576016,1397453
2023-01-15,Fiji,909466,68793,,883,,66752,,1158,,75641,971,667116,733525
2023-01-15,Madagascar,29178077,67760,,1418,,66316,,26,,2322,49,523108,17928
2023-01-15,Sudan,45992020,63702,,4995,,58275,,432,,1385,109,562941,12240
2023-01-15,Mauritania,4901981,63435,,997,,62423,,15,,12941,203,1009957,206030
2023-01-15,Cabo Verde,567678,63220,,412,,62742,,66,23,111366,726,401622,707482
2023-01-15,Bhutan,787941,62551,,21,,61564,,966,,79385,27,2303734,2923739
2023-01-15,Syria,19364809,57441,,3164,,54275,,2,,2966,163,146269,7553
2023-01-15,Burundi,12624840,52162,,38,,51393,,731,,4132,3,345742,27386
2023-01-15,Seychelles,99426,50355,,172,,50026,,157,,506457,1730,,
2023-01-15,Gabon,2331533,48980,,306,,48668,,6,,21008,131,1621909,695641
2023-01-15,Andorra,77463,47781,,165,,47563,,53,14,616824,2130,249838,3225256
2023-01-15,Papua New Guinea,9292169,46663,,669,,43982,,2012,7,5022,72,249149,26813
2023-01-15,Curaçao,165529,45986,,295,,44720,,971,3,277812,1782,496693,3000640
2023-01-15,Aruba,107609,43936,,236,,42438,,1262,2,408293,2193,177885,1653068
2023-01-15,Tanzania,63298550,42467,,846,,,,,7,671,13,,
2023-01-15,Mayotte,286259,42002,,188,,,,,,146727,657,176919,618038
2023-01-15,Mauritius,1274727,41584,,1042,,39861,,681,,32622,817,358675,281374
2023-01-15,Togo,8680837,39350,,290,,39053,,7,,4533,33,805428,92782
2023-01-15,Guinea,13865691,38210,,466,,37292,,452,8,2756,34,660107,47607
2023-01-15,Isle of Man,85732,38008,,116,,,,,,443335,1353,150753,1758422
2023-01-15,Bahamas,400516,37491,,833,,36366,,292,1,93607,2080,257839,643767
2023-01-15,Lesotho,2175699,34790,,723,,25980,,8087,,15990,332,431221,198199
2023-01-15,Faeroe Islands,49233,34658,,28,,,,,5,703959,569,778000,15802409
2023-01-15,Haiti,11680283,33969,,860,,32977,,132,,2908,74,132422,11337
2023-01-15,Mali,21473764,32772,,743,,31952,,77,,1526,35,786471,36625
2023-01-15,Cayman Islands,67277,31472,,37,,8553,,22882,1,467797,550,222773,3311280
2023-01-15,Saint Lucia,185113,29759,,409,,29095,,255,,160761,2209,210983,1139752
2023-01-15,Benin,12784726,27982,,163,,27817,,2,,2189,13,604310,47268
2023-01-15,Somalia,16841795,27310,,1361,,13182,,12767,,1622,81,400466,23778
2023-01-15,Congo,5797805,25375,,386,,24006,,983,,4377,67,347815,59991
2023-01-15,Solomon Islands,721159,24575,,153,,,,,1,34077,212,,
2023-01-15,Timor-Leste,1369429,23405,,138,,23102,,165,,17091,101,278529,203391
2023-01-15,San Marino,34085,23290,,121,,23034,,135,4,683292,3550,157634,4624732
2023-01-15,Micronesia,117489,22247,,58,,,,,1,189354,494,54967,467848
2023-01-15,Burkina Faso,22102838,22025,,396,,21596,,33,,996,18,248995,11265
2023-01-15,Liechtenstein,38387,21311,,88,,21186,,37,,555162,2292,112457,2929559
2023-01-15,Gibraltar,33704,20379,,111,,16579,,3689,,604646,3293,534283,15852213
2023-01-15,Grenada,113475,19680,,238,,19358,,84,4,173430,2097,182981,1612523
2023-01-15,Bermuda,61939,18718,,155,,18529,,34,,302201,2502,1023546,16525065
2023-01-15,Nicaragua,6779100,18491,,225,,4225,,14041,,2728,33,,
2023-01-15,South Sudan,11618511,18368,,138,,18115,,115,1,1581,12,410280,35313
2023-01-15,Tajikistan,9957464,17786,,125,,17264,,397,,1786,13,,
2023-01-15,Equatorial Guinea,1496662,17186,,183,,16880,,123,5,11483,122,365697,244342
2023-01-15,Tonga,107749,16590,,13,,15638,,939,,153969,121,535009,4965327
2023-01-15,Monaco,39783,16021,,65,,15936,,20,4,402710,1634,78646,1976875
2023-01-15,Samoa,202239,16008,,29,,1605,,14374,,79154,143,187397,926612
2023-01-15,Dominica,72344,15760,,74,,15673,,13,,217848,1023,229344,3170187
2023-01-15,Djibouti,1016097,15690,,189,,15427,,74,,15441,186,305941,301094
2023-01-15,Marshall Islands,60057,15554,,17,,15528,,9,,258987,283,,
2023-01-15,CAR,5016678,15351,,113,,14615,,623,2,3060,23,81294,16205
2023-01-15,Gambia,2558482,12586,,372,,12189,,25,,4919,145,155686,60851
2023-01-15,Saint Martin,39730,12222,,63,,1399,,10760,7,307626,1586,112382,2828643
2023-01-15,Vanuatu,321832,12014,,14,,11976,,24,,37330,44,24976,77606
2023-01-15,Greenland,56973,11971,,21,,2761,,9189,4,210117,369,164926,2894810
2023-01-15,Yemen,31154867,11945,,2159,,9124,,662,23,383,69,329592,10579
2023-01-15,Caribbean Netherlands,26647,11646,,38,,10476,,1132,,437047,1426,30126,1130559
2023-01-15,Sint Maarten,43966,11005,,89,,10905,,11,,250307,2024,62056,1411454
2023-01-15,Eritrea,3662244,10189,,103,,10086,,0,,2782,28,23693,6470
2023-01-15,Niger,26083660,9931,,312,,8890,,729,1,381,12,254538,9759
2023-01-15,St. Vincent Grenadines,111551,9563,,121,,9429,,13,,85728,1085,113272,1015428
2023-01-15,Antigua and Barbuda,99509,9106,,146,,8954,,6,1,91509,1467,18901,189943
2023-01-15,Comoros,907419,8986,,161,,8822,,3,,9903,177,,
2023-01-15,Guinea-Bissau,2063367,8947,,176,,8656,,115,6,4336,85,145231,70385
2023-01-15,Liberia,5305117,8043,,294,,7741,,8,2,1516,55,139824,26356
2023-01-15,Sierra Leone,8306436,7760,,126,,,,,,934,15,259958,31296
2023-01-15,Chad,17413580,7651,,194,,4874,,2583,,439,11,191341,10988
2023-01-15,British Virgin Islands,30596,7305,,64,,,,,,238757,2092,107339,3508269
2023-01-15,Cook Islands,17571,6952,,2,,6866,,84,,395652,114,19690,1120596
2023-01-15,Saint Kitts and Nevis,53871,6578,,46,,6523,,9,,122107,854,126861,2354903
2023-01-15,Turks and Caicos,39741,6479,,36,,6423,,20,4,163031,906,611527,15387811
2023-01-15,Sao Tome and Principe,227679,6279,,77,,6202,,0,,27578,338,29036,127530
2023-01-15,Palau,18233,5980,,9,,5974,,-3,1,327977,494,68646,3764932
2023-01-15,St. Barth,9945,5418,,6,,,,,,544796,603,78646,7908095
2023-01-15,Kiribati,123419,4921,,17,,2703,,2201,3,39872,138,,
2023-01-15,Nauru,10903,4621,,1,,4609,,11,,423828,92,20509,1881042
2023-01-15,Anguilla,15230,3904,,12,,3879,,13,4,256336,788,51382,3373736
2023-01-15,Wallis and Futuna,10982,3427,,7,,438,,2982,,312056,637,20508,1867419
2023-01-15,Macao,667490,3425,,109,,3168,,148,,5131,163,7850,11760
2023-01-15,Saint Pierre Miquelon,5759,3368,,2,,2449,,917,1,584824,347,25400,4410488
2023-01-15,Tuvalu,12066,2805,,,,,,2805,,232471,,,
2023-01-15,Falkland Islands,3539,1930,,,,1930,,0,,545352,,8632,2439107
2023-01-15,Saint Helena,6115,1806,,,,2,,1804,,295339,,,
2023-01-15,Montserrat,4965,1403,,8,,1376,,19,,282578,1611,17762,3577442
2023-01-15,Niue,1622,714,2,,,644,10,70,1,440197,,,
